,Age,Sex,Embarked
0,38.0,female,C
1,14.0,female,C
2,,female,C
3,,male,C
4,40.0,male,C
5,,female,C
6,28.0,male,C
7,,male,C
8,14.0,female,C
9,,male,C
10,3.0,female,C
11,,male,C
12,49.0,female,C
13,65.0,male,C
14,28.5,male,C
15,22.0,male,C
16,,male,C
17,,male,C
18,26.0,male,C
19,71.0,male,C
20,23.0,male,C
21,14.5,female,C
22,17.0,female,C
23,24.0,male,C
24,32.5,male,C
25,12.0,male,C
26,,female,C
27,33.0,male,C
28,23.0,male,C
29,24.0,male,C
30,,female,C
31,51.0,male,C
32,56.0,male,C
33,50.0,female,C
34,,male,C
35,44.0,female,C
36,58.0,female,C
37,45.5,male,C
38,26.0,male,C
39,40.0,male,C
40,31.0,female,C
41,32.0,female,C
42,,female,C
43,30.0,male,C
44,29.0,female,C
45,,female,C
46,35.0,female,C
47,37.0,male,C
48,33.0,male,C
49,19.0,female,C
50,36.0,male,C
51,,male,C
52,23.5,male,C
53,50.0,female,C
54,,female,C
55,17.0,female,C
56,30.0,male,C
57,30.0,female,C
58,24.0,female,C
59,18.0,female,C
60,40.0,female,C
61,36.0,female,C
62,16.0,female,C
63,41.0,female,C
64,15.0,male,C
65,,male,C
66,29.0,male,C
67,45.0,female,C
68,60.0,female,C
69,,female,C
70,24.0,female,C
71,25.0,male,C
72,22.0,male,C
73,,female,C
74,27.0,male,C
75,20.0,male,C
76,42.0,female,C
77,1.0,female,C
78,17.0,female,C
79,23.0,female,C
80,,male,C
81,5.0,female,C
82,30.0,male,C
83,49.0,male,C
84,29.0,male,C
85,0.75,female,C
86,23.0,female,C
87,25.0,male,C
88,58.0,male,C
89,71.0,male,C
90,,male,C
91,54.0,female,C
92,18.0,male,C
93,54.0,female,C
94,,male,C
95,44.0,female,C
96,,male,C
97,,male,C
98,17.0,male,C
99,,female,C
100,30.0,female,C
101,22.0,female,C
102,50.0,male,C
103,,male,C
104,17.0,male,C
105,22.0,male,C
106,48.0,female,C
107,,male,C
108,,male,C
109,,female,C
110,39.0,female,C
111,36.0,male,C
112,,male,C
113,60.0,male,C
114,52.0,female,C
115,,male,C
116,49.0,male,C
117,35.0,male,C
118,22.0,female,C
119,27.0,male,C
120,20.0,male,C
121,32.0,male,C
122,24.0,female,C
123,0.75,female,C
124,48.0,male,C
125,56.0,male,C
126,58.0,male,C
127,40.0,male,C
128,36.0,male,C
129,27.0,male,C
130,25.0,male,C
131,4.0,female,C
132,25.0,male,C
133,49.0,male,C
134,18.0,female,C
135,18.0,female,C
136,,male,C
137,24.0,female,C
138,38.0,female,C
139,11.0,male,C
140,35.0,male,C
141,21.0,female,C
142,20.0,male,C
143,,male,C
144,,male,C
145,13.0,female,C
146,46.0,male,C
147,,male,C
148,30.0,male,C
149,0.42,male,C
150,31.0,male,C
151,1.0,male,C
152,15.0,female,C
153,,male,C
154,39.0,female,C
155,,male,C
156,30.0,female,C
157,34.5,male,C
158,35.0,male,C
159,,female,C
160,9.0,female,C
161,24.0,female,C
162,,male,C
163,27.0,female,C
164,28.0,female,C
165,15.0,female,C
166,56.0,female,C
167,26.0,male,C
