,Age,Sex,Embarked
0,,male,Q
1,2.0,male,Q
2,15.0,female,Q
3,,female,Q
4,,female,Q
5,19.0,female,Q
6,,male,Q
7,,female,Q
8,,female,Q
9,,female,Q
10,70.5,male,Q
11,,male,Q
12,19.0,male,Q
13,16.0,female,Q
14,4.0,male,Q
15,,female,Q
16,40.0,male,Q
17,,male,Q
18,,female,Q
19,16.0,female,Q
20,,male,Q
21,,female,Q
22,44.0,male,Q
23,,male,Q
24,,female,Q
25,,female,Q
26,7.0,male,Q
27,65.0,male,Q
28,22.0,female,Q
29,,female,Q
30,,male,Q
31,,female,Q
32,30.0,female,Q
33,,female,Q
34,,female,Q
35,,female,Q
36,,male,Q
37,,female,Q
38,,male,Q
39,,male,Q
40,33.0,female,Q
41,21.0,male,Q
42,,male,Q
43,,male,Q
44,,male,Q
45,21.0,female,Q
46,,female,Q
47,29.0,male,Q
48,,male,Q
49,40.5,male,Q
50,,male,Q
51,,male,Q
52,,female,Q
53,,female,Q
54,,female,Q
55,,male,Q
56,57.0,male,Q
57,,male,Q
58,,female,Q
59,18.0,female,Q
60,32.0,female,Q
61,,female,Q
62,,female,Q
63,25.0,male,Q
64,,male,Q
65,,female,Q
66,31.0,male,Q
67,30.5,female,Q
68,,male,Q
69,,male,Q
70,,male,Q
71,8.0,male,Q
72,,male,Q
73,,male,Q
74,,male,Q
75,39.0,female,Q
76,32.0,male,Q
